iter	Passed	Remaining
0	175	174952
1	190	94841
2	204	67918
3	218	54479
4	237	47202
5	252	41798
6	266	37753
7	286	35505
8	299	33002
9	326	32283
10	355	31990
11	386	31783
12	406	30867
13	426	30043
14	448	29429
15	467	28742
16	484	28040
17	508	27768
18	527	27223
19	547	26829
20	565	26380
21	589	26192
22	609	25894
23	630	25629
24	647	25262
25	666	24981
26	687	24788
27	709	24640
28	732	24534
29	750	24270
30	771	24123
31	793	24015
32	819	24014
33	854	24281
34	881	24313
35	908	24324
36	943	24549
37	962	24374
38	1014	24988
39	1046	25119
40	1074	25133
41	1095	24976
42	1110	24709
43	1130	24572
44	1146	24339
45	1162	24110
46	1190	24147
47	1206	23923
48	1223	23739
49	1240	23576
50	1258	23420
51	1280	23339
52	1295	23156
53	1311	22967
54	1332	22897
55	1352	22801
56	1395	23090
57	1434	23293
58	1460	23301
59	1491	23368
60	1556	23966
61	1587	24020
62	1631	24261
63	1655	24213
64	1689	24308
65	1728	24466
66	1755	24452
67	1778	24376
68	1798	24263
69	1820	24187
70	1840	24086
71	1859	23966
72	1881	23891
73	1901	23795
74	1918	23657
75	1939	23583
76	1954	23433
77	1970	23297
78	1985	23147
79	2001	23020
80	2018	22900
81	2038	22816
82	2052	22674
83	2068	22555
84	2086	22461
85	2101	22334
86	2118	22227
87	2135	22135
88	2168	22195
89	2189	22133
90	2206	22042
91	2227	21982
92	2246	21913
93	2281	21985
94	2299	21908
95	2320	21846
96	2344	21824
97	2367	21792
98	2387	21725
99	2404	21639
100	2423	21573
101	2439	21480
102	2456	21395
103	2489	21447
104	2505	21358
105	2523	21280
106	2537	21175
107	2550	21064
108	2572	21031
109	2589	20954
110	2604	20855
111	2619	20772
112	2635	20684
113	2649	20590
114	2665	20508
115	2679	20421
116	2696	20351
117	2716	20301
118	2734	20247
119	2752	20185
120	2767	20106
121	2781	20014
122	2794	19928
123	2812	19868
124	2827	19793
125	2841	19713
126	2857	19640
127	2873	19573
128	2890	19513
129	2906	19449
130	2929	19435
131	2943	19353
132	2959	19293
133	2977	19242
134	2994	19190
135	3014	19150
136	3031	19094
137	3047	19038
138	3067	19001
139	3083	18944
140	3101	18897
141	3121	18859
142	3151	18886
143	3169	18843
144	3189	18809
145	3207	18762
146	3226	18724
147	3258	18758
148	3277	18719
149	3292	18658
150	3307	18595
151	3323	18542
152	3338	18482
153	3357	18443
154	3373	18391
155	3388	18335
156	3405	18283
157	3421	18231
158	3437	18183
159	3455	18140
160	3485	18161
161	3505	18134
162	3526	18109
163	3549	18096
164	3568	18059
165	3586	18019
166	3606	17988
167	3623	17944
168	3640	17899
169	3659	17866
170	3681	17848
171	3700	17815
172	3720	17784
173	3739	17753
174	3767	17761
175	3806	17821
176	3828	17800
177	3851	17785
178	3872	17763
179	3907	17799
180	3931	17789
181	3954	17771
182	3976	17755
183	4000	17741
184	4026	17738
185	4050	17728
186	4073	17709
187	4095	17690
188	4125	17702
189	4200	17905
190	4257	18033
191	4291	18060
192	4341	18152
193	4379	18197
194	4419	18244
195	4445	18235
196	4483	18275
197	4510	18271
198	4536	18258
199	4565	18263
200	4598	18278
201	4623	18263
202	4651	18263
203	4681	18266
204	4709	18261
205	4735	18254
206	4764	18252
207	4811	18319
208	4838	18313
209	4870	18320
210	4905	18342
211	4932	18335
212	4965	18347
213	5017	18430
214	5072	18521
215	5116	18572
216	5160	18618
217	5202	18663
218	5250	18724
219	5285	18738
220	5313	18730
221	5347	18742
222	5379	18743
223	5412	18751
224	5449	18770
225	5477	18760
226	5508	18758
227	5539	18758
228	5579	18786
229	5611	18784
230	5643	18786
231	5675	18789
232	5708	18790
233	5740	18792
234	5770	18785
235	5809	18807
236	5846	18821
237	5875	18810
238	5904	18799
239	5934	18793
240	5963	18782
241	5992	18768
242	6018	18748
243	6044	18726
244	6069	18703
245	6094	18680
246	6121	18662
247	6146	18638
248	6174	18621
249	6203	18610
250	6230	18592
251	6260	18582
252	6289	18568
253	6316	18552
254	6350	18552
255	6375	18529
256	6405	18518
257	6433	18503
258	6460	18484
259	6487	18464
260	6515	18448
261	6544	18434
262	6572	18417
263	6600	18401
264	6625	18375
265	6656	18367
266	6696	18384
267	6726	18372
